DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2017,AE,848.612,816.287,793.791,790.849,805.91,856.365,942.691,1010.968,1059.52,1088.965,1102.698,1113.77,1114.498,1063.754,997.168,1006.252,1043.717,1040.045,1059.645,1095.291,1126.952,1090.347,1024.747,947.639
2017,AE,1191.203,1093.014,1012.404,950.47,920.193,905.691,897.689,907.286,935.2,952.809,937.2,914.571,902.514,912.421,905.614,908.545,932.022,969.845,985.806,1002.689,1051.306,1035.833,975.901,899.387
2017,AE,800.918,766.189,748.902,749.77,766.174,816.36,902.828,971.449,1009.909,1037.41,1031.188,1023.828,1069.369,1075.43,1068.146,1052.163,1074.884,1094.317,1100.929,1116.772,1136.167,1089.662,1001.606,916.645
2017,AE,845.411,810.368,784.107,779.116,788.151,836.645,916.041,993.082,1030.544,1046.285,1047.442,1042.987,1014.802,974.888,952.479,962.002,1039.737,1118.664,1141.655,1154.766,1188.362,1143.973,1056.817,959.899
2017,AE,877.774,833.532,810.333,799.19,810.108,843.103,902.773,949.109,965.313,987.755,983.244,1002.391,1028.024,1046.578,1114.314,1131.722,1157.842,1180.28,1181.525,1189.637,1224.47,1208.934,1130.804,1036.632
2017,AE,939.661,870.968,829.116,806.974,800.212,796.246,809.916,845.064,890.817,934.487,999.474,1012.771,1030.569,1076.732,1110.899,1131.694,1144.644,1153.831,1142.218,1142.271,1178.811,1173.732,1109.187,1019.463
2017,AE,934.635,873.29,834.91,815.165,808.119,801.083,801.386,835.555,888.704,928.438,966.887,1006.071,1016.95,992.558,1041.738,1125.866,1151.876,1149.42,1143.343,1144.008,1161.066,1124.128,1060.219,961.445
2017,AE,820.181,784.785,763.9,762.19,771.047,821.538,900.974,972.526,1011.479,1035.905,1046.097,1053.387,1061.655,1051.977,1038.775,1050.307,1064.007,1088.568,1097.875,1114.779,1134.731,1099.866,1008.456,922.509
2017,AE,855.004,814.77,792.582,787.12,797.671,845.818,926.551,980.292,1023.374,1030.483,1014.93,1020.666,1011.559,1010.733,1038.771,1095.005,1162.396,1233.792,1278.848,1282.966,1301.102,1272.252,1148.066,1030.265
2017,AE,925.183,864.591,834.194,818.064,821.644,846.504,915.739,969.003,978.563,979.561,986.482,1004.755,1035.223,1088.718,1111.791,1155.598,1215.43,1250.204,1275.441,1256.283,1243.507,1213.405,1118.912,1008.925
2017,AE,882.475,828.076,795.017,778.237,772.992,762.632,765.593,786.331,819.284,848.966,870.428,896.987,930.811,979.573,1027.912,1093.298,1166.458,1225.495,1244.956,1248.732,1279.845,1258.274,1164.061,1060.353
2017,AE,927.778,879.512,851.115,838.17,843.605,884.17,960.005,1027.147,1039.187,1043.913,1064.976,1069.207,1068.789,1077.077,1092.758,1108.187,1110.129,1115.146,1111.026,1111.786,1138.365,1101.061,1008.41,913.532
2017,AE,851.341,811.587,785.982,779.66,792.355,825.458,888.274,935.116,932.127,917.55,914.492,909.607,955.621,1003.57,1074.422,1145.49,1225.693,1300.413,1347.839,1349.227,1333.588,1307.292,1208.441,1094.731
2017,AE,1104.432,997.433,942.57,906.362,895.852,915.235,964.278,988.497,1001.779,987.914,986.885,995.164,1026.957,1058.846,1129.59,1152.308,1164.108,1178.931,1186.641,1225.087,1225.522,1176.74,1099.792,1009.245
2017,AE,929.885,873.794,836.62,819.395,819.53,833.302,850.207,881.522,964.528,1035.077,1086.431,1100.998,1110.154,1095.537,1091.499,1085.497,1096.663,1119.738,1141.679,1180.398,1181.662,1149.62,1086.262,1009.346
2017,AE,948.394,901.193,870.603,851.568,847.129,863.974,878.812,905.756,990.449,1061.138,1101.33,1093.171,1088.261,1117.096,1151.602,1170.705,1184.574,1223.94,1259.041,1271.51,1281.66,1230.289,1147.133,1062.533
2017,AE,929.694,876.514,862.36,846.027,854.367,898.577,994.214,1033.148,1025.897,1054.212,1068.159,1025.986,1013.566,1053.24,1085.86,1123.841,1186.993,1240.266,1257.745,1267.36,1264.628,1181.961,1072.379,972.764
2017,AE,893.273,845.83,815.445,805.218,811.025,858.516,944.24,981.773,982.611,965.861,952.22,947.28,966.692,1008.944,1063.773,1111.28,1154.76,1210.137,1207.456,1224.921,1223.742,1165.095,1081.09,986.228
2017,AE,838.966,798.561,776.633,771.048,780.111,831.534,925.044,973.086,965.082,945.485,929.864,930.641,933.831,969.369,1020.293,1102.64,1175.452,1207.047,1227.615,1261.834,1244.047,1163.007,1049.198,949.865
2017,AE,880.834,835.173,805.858,802.034,805.334,857.056,960.44,1001.98,1001.744,998.648,1001.21,996.405,1017.238,1050.755,1114.848,1190.663,1265.059,1281.555,1280.496,1313.434,1296.073,1209.987,1095.811,995.282
2017,AE,846.362,809.217,787.866,789.101,800.118,854.487,965.384,1001.828,991.343,973.092,968.805,1006.333,1035.989,1094.362,1176.528,1216.868,1241.14,1269.681,1313.456,1356.392,1312.731,1254.226,1125.875,1037.679
